StateAbbr,LocationName,All teeth lost among adults aged >=65 years,Arthritis among adults aged >=18 years,Binge drinking among adults aged >=18 years,Cancer (excluding skin cancer) among adults aged >=18 years,Cervical cancer screening among adult women aged 21-65 years,Cholesterol screening among adults aged >=18 years,Chronic kidney disease among adults aged >=18 years,Chronic obstructive pulmonary disease among adults aged >=18 years,Coronary heart disease among adults aged >=18 years,Current asthma among adults aged >=18 years,Current lack of health insurance among adults aged 18-64 years,Current smoking among adults aged >=18 years,Diagnosed diabetes among adults aged >=18 years,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",High blood pressure among adults aged >=18 years,High cholesterol among adults aged >=18 years who have been screened in the past 5 years,Mammography use among women aged 50-74 years,Mental health not good for >=14 days among adults aged >=18 years,No leisure-time physical activity among adults aged >=18 years,Obesity among adults aged >=18 years,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening","Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",Physical health not good for >=14 days among adults aged >=18 years,Sleeping less than 7 hours among adults aged >=18 years,Stroke among adults aged >=18 years,Taking medicine for high blood pressure control among adults aged >=18 years with high blood pressure,Visits to dentist or dental clinic among adults aged >=18 years,Visits to doctor for routine checkup within the past year among adults aged >=18 years
SD,Walworth,14.7,22.9,23.4,6.6,85.4,74.6,2.6,5.4,6.2,9,12.9,20.4,8.9,61.1,27.6,24.8,73.9,11.1,22.8,31.6,22.4,21.7,10.5,31.4,3,57.7,67.6,72
SD,Campbell,12.6,20.9,23.3,6.5,86.6,75.1,2.3,4.8,5.6,8.2,12.5,17.9,7.6,66,26.3,24.6,75.3,10.2,21.2,31,24.2,23.6,9.1,28.7,2.6,57.1,70.9,71
SD,Sully,11.6,21.3,23.5,6.6,87.1,75.9,2.4,4.7,5.6,8.2,11.6,17.3,7.8,66,26.4,23.9,74.1,10.1,20.3,31.8,24.7,22.7,9,29.2,2.6,57,71.9,71.7
TX,Childress,18.8,24.4,18.2,6.1,80.9,77.8,3.2,7.9,7.7,9,30.4,20.7,12.7,56,34.6,31.9,67.1,14.8,30.1,38.5,17.3,17.2,14.6,37.8,3.6,57.9,50.2,71.2
ND,Emmons,14.4,25.7,22.6,6.5,82.6,75.2,2.6,6.4,6.5,9.3,12.5,21.7,9.5,61,29.2,29.2,71,12.8,25,36.1,24.4,24.1,11.4,32.2,3,58.2,63.3,70
TX,Stonewall,16.6,23.5,18,6.2,81.8,77.6,2.9,7.4,7,9.2,25.9,19.6,11.1,58.4,33.1,31.5,68.8,14.7,27.8,36.1,18.4,18,13.4,36.4,3.3,57,54.7,71.4
TX,King,13.9,21.8,19.9,6.2,82.5,78,2.5,6.5,6.4,8.7,24.1,18,9.7,60.5,32.3,31.4,70.4,13.6,24.4,32.9,20.4,19.6,11.8,34.9,2.9,55.8,59.6,70.5
TX,Wheeler,17.6,24.6,17.7,6.3,81.5,77.5,3,7.8,7.3,9.5,26.8,20.3,11.7,57.8,33.3,31.7,68.6,15.4,28.4,36.6,18,17.9,14.2,36.8,3.4,57,53.2,71.4
TX,Collingsworth,19.2,24.5,17.3,6.2,81.4,77.8,3.1,7.9,7.4,9.6,30.2,20.1,12.3,56.1,33.7,31.6,68.2,15.4,30.3,37.6,17.6,17,14.6,36.9,3.6,57.1,52.2,71.5
TX,Hemphill,17,23.6,17.6,6.2,81.9,78.6,2.9,7.4,7.1,9.2,28.2,19,11.4,57.7,31.4,31,68.6,14.7,28,36,18.6,18.3,13.6,35.9,3.3,55.8,54.9,71.2
